Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of transcription, DNA-templated (GO:0006355)	320/2244	2.1133796348290628E-23	9.42567317133762E-20	0	0	2.0147587651280414	105.19290987683706	RB1;ZNF292;RAX;JMJD1C;CCNC;ENO1;BACH1;ELK4;TIAL1;SPIC;KAT5;PPP2R1A;ZMIZ2;MYC;ZXDC;DPF2;FBXO5;SOX9;BTRC;HOXA6;RNF111;SOX4;DDX17;SFMBT1;SP110;ZNF281;ZNF160;SOX11;ZNF12;THAP1;DKK3;JMJD6;EID2;RFX7;PRKAR1A;SUB1;ZNF714;HOXB3;TFAM;ATF7;ZNF711;HOXB2;ATF3;ZNF276;SET;HOXD1;FOXG1;TSHZ2;GATA6;ZNF22;ZNF24;PRDM11;HIF1A;MTDH;MBTD1;POU5F1B;ZNF708;RAD21;ZBTB7A;PPARGC1B;ZNF267;ZNF146;EGR1;ZNF264;JUN;ZNF383;ZNF260;XRCC5;BCL11A;PBX3;NR2F1;IRF2BP2;SMARCA2;PHC3;FLI1;MED13L;FOSL2;ZBTB6;HNRNPK;ID4;HBP1;CALR;RBAK;SIM2;ZNF257;HOXD8;LIN54;SETD5;GMEB1;CDKN1A;ZNF131;CSRNP3;CDKN1B;CITED2;ZNF43;RSF1;MED14;MED13;SCML1;HEY1;ZNF41;MLX;ZNF367;ZNF366;ZNF486;HTATIP2;TEAD3;IL10;ZNF484;ZNF121;ATMIN;RHOH;ZHX1;PHF20L1;ZEB2;ZEB1;AEBP2;MDFIC;MTF1;MTF2;DEPDC1;WAC;ZNF780A;ZNF236;VGLL4;PPARD;FOXC1;SP100;SATB1;ZNF518B;SATB2;ZNF518A;ZNF66;SPTY2D1;PURB;RXRB;PURA;ZFP14;MNT;BTAF1;CUX1;HSF2;ZNF107;GPBP1L1;MSX1;SRSF10;ZNF585A;PURG;ZNF460;BRF2;STAT3;WWP1;VEGFA;PER2;TFAP4;RYBP;ZNF71;NFIA;NFIB;TCEA2;HDGF;ZNF354A;MIXL1;LIMS1;ZNF331;FOXA1;CCNT2;ZSCAN9;PRDM2;RORA;YEATS4;ARID4B;NUCKS1;RORB;NR3C1;HOXA10;YY1;ZNF208;EP300;ZNF569;PIM2;ZFP37;MAP3K5;ZNF320;MAP2K1;ZNF680;ZBTB38;WNT5A;DYRK1A;ZBTB33;MYT1;FOXP2;HIC2;ILF3;ZNF92;KAT6B;TBL1XR1;ZNF317;TIMELESS;ZNF678;ZNF675;ZNF311;ZNF430;KHDRBS1;DLX1;DDX5;ZNF790;KMT2A;CBFB;GLIS3;FOXO3;RLF;NPAS2;SBNO1;ATXN1;OTX1;MAP2K7;ZNF664;ZKSCAN1;BPTF;ZBTB18;POU2F1;MYPOP;SMAD3;TGFB1;CBX4;PHF10;FUS;CBX3;NONO;ZBTB10;HMGA2;ZBTB11;FOXN2;SMAD5;SMAD7;IL6;SP1;BAMBI;SP3;JMY;ZNF416;MDM2;PHF14;BRWD1;OGT;ZNF652;PHF19;KDM5B;HMGB2;SIX1;PSIP1;ZFP82;CHD1;LBH;ZIC2;SIX4;PPP1R13L;ZNF529;TRPS1;LRRFIP1;USP47;TGIF2;CHUK;ZFP91;ZNF75A;PPM1A;ZNF519;ZNF639;IRF4;LCOR;TERF2IP;LCORL;RBM23;IRF9;CREB5;NFAT5;PLAG1;FOXK2;RNF6;FOXK1;ZBTB40;HSPD1;TP53INP2;MXI1;TP53INP1;ZNF626;SAP18;ZNF624;ZNF503;E2F3;ZNF623;MTA3;E2F7;TCFL5;ZNF189;ATF7IP;MLXIP;SPEN;TCF7L2;ZNF184;MGA;USP22;CDC5L;MAPK14;HNRNPAB;KLF3;TBX3;TBX18;REST;PITHD1;PDCD4;ZNF614;TAF7;NAA16;BCOR;NAA15;SSBP2;TRIM33;ZNF850
regulation of transcription by RNA polymerase II (GO:0006357)	305/2206	3.850295693455503E-20	8.586159396405772E-17	0	0	1.9249508831805489	86.05214173245535	RB1;MAML1;ZNF292;RAX;JMJD1C;CCNC;ENO1;GABPB1;BACH1;DCAF6;ELK4;TIAL1;SPIC;TBK1;KAT5;ZMIZ2;MYC;ZXDC;DPF2;SOX9;HOXA6;RNF111;SOX4;DDX17;SP110;ZNF281;ZNF160;SOX11;ZNF12;DICER1;THAP1;JMJD6;THAP5;RFX7;PRKAR1A;SUB1;HOXB3;ATF7;PRKD2;HOXB2;EZR;ATF3;ZNF276;HOXD1;FOXG1;TSHZ2;GATA6;ZNF22;RTF1;ZNF24;HIF1A;MTDH;POU5F1B;MIER3;PCBP1;RAD21;MIER1;ZBTB7A;PPARGC1B;ZNF267;ZNF146;EGR1;ZNF264;JUN;ZNF383;ZNF260;BCL11A;PBX3;NR2F1;LARP7;IRF2BP2;SMARCA2;FLI1;MED13L;FOSL2;SETX;ZBTB6;HNRNPK;ID4;HBP1;CALR;RBAK;CPEB3;SIM2;HOXD8;GMEB1;CDKN1A;ZNF131;CSRNP3;CITED2;ZNF43;RSF1;WASL;MED15;MED14;MED13;HEY1;C1QBP;ZNF41;MLX;ZNF367;ZNF366;HTATIP2;TEAD3;ZNF484;ZNF121;EDN1;ATMIN;PARP1;HSBP1;NCOA3;TET2;ZHX1;PHF20L1;ZEB2;ZEB1;AEBP2;MTF1;MTF2;TET3;ZNF780A;ZNF236;PPARD;FOXC1;SP100;SATB1;ZNF518B;SATB2;ZNF518A;PURB;RXRB;PURA;ZFP14;MNT;CUX1;HSF2;ZNF107;MSX1;ZNF585A;PURG;USP9X;STAT3;RRP1B;GATAD2B;VEGFA;SKI;PER2;TFAP4;ZNF71;NFIA;NFIB;HDGF;ZNF354A;MIXL1;FOXA1;CCNT2;RIF1;ZSCAN9;PRDM2;RORA;YEATS4;ARID4B;NUCKS1;RORB;NR3C1;HOXA10;YY1;CCND1;ZNF208;EP300;ZNF569;ZFP37;ZNF320;ZBTB38;WNT5A;ZBTB33;MYT1;FOXP2;HIC2;KAT6B;TBL1XR1;ZNF317;SQSTM1;ZNF675;ZNF311;DLX1;DDX5;ZNF790;KMT2A;CBFB;KMT2C;GLIS3;FOXO3;RLF;NPAS2;CCNB1;ATXN1;UBC;OTX1;ZKSCAN1;BPTF;ZBTB18;AKIRIN1;DR1;POU2F1;MYPOP;SMAD3;TGFB1;CBX4;PHF10;FUS;CBX2;ZBTB10;RITA1;HMGA2;SMAD5;SMAD7;IL6;SP1;SP3;JMY;ZNF416;MDM2;PHF14;CDK1;BRWD1;OGT;ZNF652;KDM5B;BMPR2;AKAP8L;HMGB2;SIX1;PSIP1;ZFP82;CHD1;CDC73;ZIC2;SIX4;SIN3B;PPP1R13L;ZNF529;TRPS1;LRRFIP1;DACT1;TGIF2;CHUK;ZFP91;ZNF75A;SENP1;METTL23;PPM1A;ZNF639;IRF4;LCOR;ITGA6;LCORL;IRF9;CREB5;NFAT5;PLAG1;FOXK2;FOXK1;RNF2;ZBTB40;HSPD1;ZNF507;MXI1;NRIP1;SAP18;ZNF624;E2F3;ZNF623;FNIP1;MTA3;FNIP2;E2F7;TCFL5;ZNF189;MLXIP;SPEN;TCF7L2;SEMA4D;ZNF184;MACC1;MGA;CDC5L;MAPK14;KLF3;TBX3;TBX18;ACVR2A;TNRC6C;REST;KANSL3;BRMS1L;ZNF614;TAF7;BCOR;SSBP2;TRIM33;ZNF850;TNRC6A;TNRC6B;TAF1
negative regulation of transcription, DNA-templated (GO:0045892)	164/948	7.948693971182892E-20	1.1817058370491901E-16	0	0	2.4301324503311257	106.87405195951938	RB1;RIF1;PRDM2;RORB;ENO1;NR3C1;BACH1;YY1;ELK4;CCND1;KAT5;MYC;DPF2;EP300;SOX9;BTRC;ZFP37;SFMBT1;ZNF281;ZBTB38;WNT5A;SOX11;DICER1;ZNF12;ZBTB33;FOXP2;THAP1;DKK3;HIC2;EID2;ILF3;THAP5;KAT6B;TBL1XR1;TIMELESS;EZR;ZNF675;ATF3;DLX1;KHDRBS1;DDX5;SET;CBFB;FOXG1;GATA6;GLIS3;RTF1;ZNF24;FOXO3;PRDM11;MTDH;MBTD1;ATXN1;MIER3;MIER1;UBC;ZBTB7A;BPTF;ZBTB18;JUN;DR1;MYPOP;POU2F1;SMAD3;TGFB1;PHF10;CBX4;XRCC5;BCL11A;CBX3;CBX2;NONO;NR2F1;RITA1;LARP7;HMGA2;IRF2BP2;SMARCA2;PHC3;SMAD7;SP3;MDM2;ID4;CALR;CPEB3;RBAK;CDKN1B;CITED2;HMGB2;RSF1;CDC73;SCML1;LBH;HEY1;ZIC2;SIN3B;SIX4;ZNF529;C1QBP;TRPS1;MLX;LRRFIP1;ZNF366;DACT1;USP47;EDN1;TGIF2;PARP1;HSBP1;ZHX1;ZNF75A;PPM1A;ZEB2;ZEB1;MDFIC;ZNF639;MTF2;DEPDC1;LCOR;VGLL4;PPARD;FOXC1;SP100;SATB1;FOXK2;FOXK1;RNF2;PURA;MNT;BTAF1;CUX1;MXI1;NRIP1;FLNA;SAP18;ZNF503;FNIP1;MTA3;FNIP2;E2F7;TCFL5;ATF7IP;SPEN;TCF7L2;SEMA4D;USP9X;STAT3;WWP1;GATAD2B;TBX3;VEGFA;SKI;PER2;REST;TFAP4;BRMS1L;PDCD4;ZNF614;TAF7;HDGF;BCOR;TRIM33;LIMS1;TAF1
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	102/547	7.95870319183796E-15	8.873954058899327E-12	0	0	2.6072304657346255	84.64246037169309	RB1;EIF4A3;ENO1;RORB;NR3C1;KAT5;DPF2;SOX9;BTRC;SFMBT1;ZNF281;ZBTB38;WNT5A;ZNF12;ZBTB33;FOXP2;DKK3;HIC2;EID2;ILF3;SLFN11;KAT6B;TIMELESS;KHDRBS1;DDX6;SET;FOXG1;GATA6;PRDM11;ZNF24;FXR1;MBTD1;LARP1;ATXN1;ZBTB7A;ZBTB18;JUN;POU2F1;TGFB1;CBX4;PHF10;XRCC5;CBX3;NONO;EIF2AK2;HMGA2;PHC3;SMARCA2;SP3;MDM2;ID4;CALR;CPEB3;CNOT8;RBAK;LSM14A;GSK3B;BTG2;CDKN1A;CDKN1B;BMPR2;CITED2;HMGB2;RSF1;DBI;SYNCRIP;LBH;SCML1;HEY1;SIX4;ZIC2;MLX;USP47;ZHX1;ZEB1;MDFIC;ZNF639;DEPDC1;VGLL4;PPARD;FOXK2;FOXK1;TOB1;BTAF1;RPS3;SAP18;ZNF503;MTA3;ATF7IP;SPEN;TCF7L2;SAMD4A;WWP1;TBX3;PER2;REST;TFAP4;PDCD4;TAF7;BCOR;TRIM33;LIMS1
regulation of RNA splicing (GO:0043484)	30/76	1.0766364061802344E-13	8.442010840076756E-11	0	0	7.251666137734053	216.53304286218648	KHDRBS1;AHNAK;CELF1;YTHDC1;HNRNPLL;PTBP1;TRA2B;CWC22;HABP4;SLC38A2;SRSF10;MBNL1;FUS;DYRK1A;LARP7;RRP1B;PTBP2;JMJD6;PTBP3;HNRNPL;SETX;HNRNPK;SON;HNRNPH1;HNRNPF;RBM12B;RBM23;RBM22;SF1;HSPA1A
negative regulation of transcription by RNA polymerase II (GO:0000122)	116/684	1.135696525570864E-13	8.442010840076756E-11	0	0	2.3277495525140575	69.3817413087213	RB1;RIF1;PRDM2;ENO1;NR3C1;BACH1;ELK4;YY1;KAT5;CCND1;MYC;DPF2;EP300;SOX9;ZFP37;ZNF281;SOX11;DICER1;FOXP2;THAP1;THAP5;TBL1XR1;EZR;ZNF675;ATF3;DLX1;DDX5;CBFB;GATA6;GLIS3;RTF1;FOXO3;MTDH;ATXN1;MIER3;MIER1;UBC;ZBTB7A;BPTF;ZBTB18;JUN;DR1;MYPOP;SMAD3;CBX4;BCL11A;CBX2;NR2F1;RITA1;IRF2BP2;LARP7;HMGA2;SMARCA2;SMAD7;MDM2;ID4;CALR;CPEB3;CITED2;CDC73;HEY1;SIN3B;ZNF529;C1QBP;TRPS1;MLX;LRRFIP1;ZNF366;DACT1;EDN1;TGIF2;PARP1;HSBP1;ZHX1;ZNF75A;PPM1A;ZEB2;ZEB1;MTF2;LCOR;PPARD;FOXC1;SP100;SATB1;RNF2;PURA;MNT;CUX1;MXI1;NRIP1;FNIP1;FNIP2;MTA3;E2F7;TCFL5;SPEN;TCF7L2;SEMA4D;USP9X;STAT3;GATAD2B;TBX3;VEGFA;SKI;PER2;REST;NFIB;NEDD4;BRMS1L;ZNF614;TAF7;HDGF;BCOR;TRIM33;HSPA1A;TAF1
regulation of apoptotic process (GO:0042981)	122/742	2.431112297721676E-13	1.5489658354055248E-10	0	0	2.244899401396741	65.20368077245445	ANKRD13C;FOXA1;ANKLE2;ARL6IP1;ZFAND6;IGF1R;SLK;CCND2;MYC;ARL6IP5;PIM2;SOX9;PHLDA1;SOX4;MAP3K5;RPS6;WNT5A;FBXO11;IL6ST;RAF1;SQSTM1;ANP32A;GLO1;GATA6;FOXO3;STK4;RTN4;MTDH;STK3;BAG4;BCL2L11;BAG1;UBC;PMAIP1;ZBTB7A;MCL1;HSPA9;MOAP1;JUN;CBX4;SIAH2;TNFRSF10B;HMGA2;BFAR;HIGD2A;SETX;IL6;HNRNPK;SON;JMY;CDK1;NF1;ANP32E;RNPS1;NF2;ANP32B;CALR;GSK3B;RBM25;TNFAIP8;CSRNP3;CITED2;DDX42;HSPB1;DSTYK;SPTLC1;CASP8;SIX4;CASP10;TCTN3;TRIM2;C1QBP;CASP3;DNM1L;CTNNBL1;CTSB;HTATIP2;IL10;USP47;ANXA1;ARHGEF12;PAWR;SERPINB9;YWHAZ;NME1;RHOB;LATS1;LATS2;CAT;GAS1;ITGA6;SGK1;PRKAA1;PRKAA2;XIAP;FSTL1;THBS1;MALT1;HSPD1;MAPK8;PNMA1;TP53INP1;RPS3;FLNA;SAP18;BNIP2;PAK2;SEMA4D;RRP1B;HIPK3;TBX3;HYPK;VEGFA;ITCH;GOLPH3;REST;RYBP;TFAP4;APC;NAA16;NAA15;HSPA1A
regulation of gene expression (GO:0010468)	159/1079	7.063863360944978E-13	3.9381038237268254E-10	0	0	1.985617735686612	55.55483235469747	RB1;ZNF331;RPL5;JMJD1C;RORA;PRDM2;RORB;NR3C1;BACH1;TSKU;SLC8A1;CRKL;YY1;PPP2R1A;KHSRP;MYC;EP300;ADNP2;DIP2A;VPS35;SOX9;ZFP37;SOX4;MBNL1;MAP2K1;ZNF680;FBXW7;ZNF281;ZBTB38;WNT5A;SOX11;DICER1;PRKAB1;MYT1;THAP1;ZNF92;KAT6B;ZNF714;ATF7;ZNF678;ZNF711;MATR3;ADNP;ANKRA2;EZR;ZNF675;ZNF430;YTHDC1;PIK3R3;ZNF22;ATXN7L3B;PRDM11;HNRNPLL;HIF1A;POU5F1B;SBNO1;ZNF708;LARP1;ATXN1;HNRNPDL;PCBP1;PCBP2;UBR5;SLC38A2;ZNF664;PPARGC1B;ZNF146;LYN;EGR1;SMAD3;TGFB1;FUS;NONO;GLMN;HMGA2;ZBTB11;LARP4;FOXN2;PUM1;SMARCA2;HNRNPL;IL6;SON;HNRNPK;CDK6;SP1;HNRNPF;SP3;CDK2;CALR;RBAK;ZNF257;PHF19;LIN54;GSK3B;CELF1;CITED2;SIX1;AFF4;AFF1;PTBP1;CASP8;HEY1;MLX;ITGB8;ZNF486;IL10;TGIF2;RHOH;SERPINB9;PTBP2;PTBP3;ZNF519;HNRNPH1;MTF2;RBM12B;TERF2IP;CD46;RBMS3;PRKAA1;FOXC1;PRKAA2;AHNAK;ROCK2;PLAG1;FOXK2;ZNF66;RNF6;SPTY2D1;TOB1;MAPK8;CAMK2N1;ZNF507;TRA2B;ZNF626;RPS3;ZNF503;GPBP1L1;SRSF10;TCFL5;ZNF460;SORT1;STAT3;RRP1B;MAPK14;HNRNPAB;VEGFA;TNRC6C;NUDT21;REST;RYBP;NFIA;FAM98B;SSBP2;TNRC6A;LIMS1;TAF1;HSPA1A;TNRC6B
positive regulation of transcription, DNA-templated (GO:0045893)	168/1183	3.5223322180934564E-12	1.7455112991885349E-9	0	0	1.9025690342079955	50.174356096675375	FOXA1;CCNT2;MAML1;RAX;RORA;CCNC;PRDM2;YEATS4;RORB;NR3C1;GABPB1;DCAF6;YY1;ELK4;HOXA10;TBK1;KAT5;MYC;ZMIZ2;ZXDC;DPF2;EP300;PIM2;SOX9;BTRC;RNF111;SOX4;MAP3K5;DDX17;MAP2K1;SUPT16H;ZNF281;ZBTB38;WNT5A;DYRK1A;SOX11;JMJD6;ILF3;KAT6B;TBL1XR1;HOXB3;TFAM;ZNF711;HOXB2;PRKD2;SQSTM1;ATF3;DLX1;KMT2A;KMT2C;GATA6;GLIS3;ZNF24;FOXO3;PRDM11;HIF1A;RLF;NPAS2;DHX33;PCBP1;UBC;OTX1;MAP2K7;PPARGC1B;BPTF;ZBTB18;EGR1;JUN;DR1;AKIRIN1;POU2F1;SMAD3;TGFB1;PHF10;NR2F1;HMGA2;SMARCA2;SMAD5;FLI1;FOSL2;SMAD7;SETX;IL6;SP1;BAMBI;SP3;OGT;HOXD8;CSRNP3;BMPR2;CITED2;AKAP8L;HMGB2;SIX1;RSF1;WASL;MED14;MED13;LBH;HEY1;ZIC2;SIX4;MLX;HTATIP2;IL10;EDN1;ATMIN;CHUK;PARP1;NCOA3;TET2;SENP1;METTL23;PPM1A;ZEB2;MDFIC;ZNF639;IRF4;MTF1;MTF2;TET3;WAC;ITGA6;RBM23;PPARD;CREB5;NFAT5;FOXC1;SP100;PLAG1;SATB2;FOXK2;FOXK1;RNF6;RXRB;SERTAD2;ZNF507;TP53INP2;HSF2;TP53INP1;NRIP1;E2F3;E2F7;ATF7IP;MLXIP;TCF7L2;MACC1;USP22;STAT3;CDC5L;RRP1B;HNRNPAB;TBX3;ACVR2A;VEGFA;SKI;REST;TFAP4;RYBP;NFIA;NFIB;PITHD1;KANSL3;TAF7;NAA16;NAA15;SSBP2;MIXL1
negative regulation of nucleic acid-templated transcription (GO:1903507)	85/464	3.9306740798616775E-12	1.7530806396183081E-9	0	0	2.533072857425141	66.52409179096237	RB1;EIF4A2;CDKN1B;CITED2;HMGB2;RSF1;ENO1;RORB;NR3C1;LBH;SCML1;HEY1;KAT5;SIX4;ZIC2;DPF2;MLX;SOX9;BTRC;USP47;SFMBT1;ZNF281;ZBTB38;WNT5A;ZNF12;ZBTB33;ZHX1;FOXP2;DKK3;HIC2;EID2;ILF3;ZEB1;MDFIC;KAT6B;ZNF639;DEPDC1;TIMELESS;VGLL4;PPARD;KHDRBS1;SET;FOXG1;GATA6;FOXK2;FOXK1;PRDM11;ZNF24;MBTD1;BTAF1;ATXN1;SAP18;ZNF503;ZBTB7A;MTA3;ZBTB18;ATF7IP;SPEN;TCF7L2;JUN;POU2F1;TGFB1;CBX4;PHF10;XRCC5;CBX3;NONO;WWP1;HMGA2;PHC3;SMARCA2;TBX3;PER2;REST;TFAP4;SP3;MDM2;PDCD4;ID4;TAF7;BCOR;CALR;RBAK;TRIM33;LIMS1
RNA processing (GO:0006396)	45/179	1.293674261266385E-11	5.2452610956800704E-9	0	0	3.7503092273439433	94.02381358052493	PIWIL2;CELF1;CSTF3;AKAP8L;HNRNPR;DUSP11;RBM3;PTBP1;SYNCRIP;ATXN1;PPP2R1A;RSRC1;KHSRP;MTPAP;HNRNPA0;DDX17;IVNS1ABP;MBNL1;SF3A1;CPSF6;SCAF11;FUS;NCBP2;NONO;USB1;DICER1;HNRNPL;SETX;SMU1;PRPF4;NUDT21;LIN28B;HNRNPK;SON;HNRNPH1;HNRNPF;HNRNPA2B1;SRSF2;FASTKD5;LUC7L3;RBMS1;RNPS1;PPIG;SRSF7;SNRPB
positive regulation of transcription by RNA polymerase II (GO:0045944)	134/908	4.688630258115556E-11	1.742607579266282E-8	0	0	1.9731937313332661	46.92904966794564	FOXA1;CCNT2;MAML1;RAX;RORA;CCNC;PRDM2;YEATS4;RORB;NR3C1;GABPB1;DCAF6;YY1;ELK4;HOXA10;TBK1;KAT5;MYC;ZMIZ2;DPF2;EP300;SOX9;RNF111;SOX4;DDX17;SUPT16H;ZBTB38;WNT5A;SOX11;JMJD6;KAT6B;TBL1XR1;SUB1;HOXB3;HOXB2;PRKD2;SQSTM1;ATF3;DLX1;KMT2A;KMT2C;GATA6;GLIS3;ZNF24;FOXO3;HIF1A;RLF;NPAS2;PCBP1;UBC;OTX1;PPARGC1B;BPTF;ZBTB18;EGR1;JUN;DR1;AKIRIN1;POU2F1;SMAD3;TGFB1;PHF10;NR2F1;LARP7;HMGA2;SMARCA2;SMAD5;FOSL2;SMAD7;SETX;IL6;SP1;SP3;OGT;HOXD8;CSRNP3;BMPR2;CITED2;AKAP8L;HMGB2;SIX1;RSF1;WASL;CDC73;MED14;MED13;HEY1;MLX;HTATIP2;IL10;EDN1;ATMIN;CHUK;PARP1;NCOA3;TET2;SENP1;METTL23;ZEB2;ZNF639;IRF4;MTF1;MTF2;TET3;ITGA6;PPARD;NFAT5;FOXC1;PLAG1;SATB2;FOXK2;RXRB;ZNF507;HSF2;NRIP1;E2F3;E2F7;MLXIP;TCF7L2;MACC1;STAT3;CDC5L;RRP1B;TBX3;ACVR2A;VEGFA;SKI;REST;NFIA;NFIB;KANSL3;TAF7;SSBP2;MIXL1
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	63/321	1.3390880589554004E-10	4.594102109954682E-8	0	0	2.7386427612489714	62.25992687725228	RB1;TRIM72;UBXN2A;KAT5;PSMD5;TRIM2;CDC27;UBXN8;FBXO5;BTRC;UBXN4;FBXO9;SKP1;FBXW7;USP44;UBE2E1;UBE4A;YOD1;KCTD5;KLHL42;PSMA5;PSMA4;TBL1XR1;PSME3;PELI1;PSME2;FAM8A1;KLHL15;UBR3;FBXO45;USP19;PSMB6;FBXL20;CCNB1;PSMB5;SHARPIN;RMND5A;PCBP2;UBC;UBQLN1;DCAF11;SMURF1;FEM1B;SIAH2;ERLIN1;HUWE1;WWP1;BFAR;ERLIN2;FBXL13;ITCH;GID4;APPBP2;NEDD4;PSMC1;PSMC2;CDK2;DNAJC10;CDK1;MDM2;STT3B;RNF185;TAF1
mRNA processing (GO:0006397)	60/300	1.6804559575419718E-10	5.353452550455138E-8	0	0	2.801425030978934	63.05107302309774	DDX46;CELF1;EIF4A3;AKAP8L;DDX42;HNRNPR;CWC27;PNN;SYNCRIP;PTBP1;RSRC1;CWC22;PAPOLA;CMTR2;CTNNBL1;AQR;SCAF11;NCBP2;PRPF4;HNRNPH1;ZC3H11A;SRSF2;SNRPE;PABPC1;SRSF7;SRSF8;SF1;SNRPB;RBM22;DDX5;YTHDC1;CSTF3;PRCC;FIP1L1;POLR2B;DHX35;PCBP1;TRA2B;PCBP2;CSTF1;SRSF10;SMNDC1;RBM10;HNRNPA0;SPEN;SF3A1;HNRNPA3;CPSF6;FUS;NONO;CDC5L;RPRD2;HNRNPL;SMU1;NUDT21;HNRNPK;SON;HNRNPF;HNRNPA2B1;RNPS1
mRNA splicing, via spliceosome (GO:0000398)	56/274	2.8994504440919464E-10	8.621032653766721E-8	0	0	2.8749050248919836	63.13673714504965	DDX46;EIF4A3;DDX42;HNRNPR;CWC27;COIL;PNN;SYNCRIP;PTBP1;RSRC1;CWC22;PAPOLA;CTNNBL1;DDX17;AQR;SCAF11;NCBP2;PRPF4;HNRNPH1;GEMIN4;SRSF2;SNRPE;PABPC1;SRSF7;SRSF8;SF1;SNRPB;RBM22;DDX5;YTHDC1;CSTF3;PRCC;FIP1L1;POLR2B;DHX35;PCBP1;TRA2B;PCBP2;CSTF1;SRSF10;SMNDC1;RBM10;HNRNPA0;SPEN;SF3A1;HNRNPA3;FUS;NONO;CDC5L;HNRNPL;SMU1;NUDT21;HNRNPK;HNRNPF;HNRNPA2B1;RNPS1
regulation of mRNA splicing, via spliceosome (GO:0048024)	28/90	5.10323936977249E-10	1.4225279743240815E-7	0	0	5.011092384274684	107.21720948781469	KHDRBS1;RBM25;DDX5;CELF1;YTHDC1;RBM3;FXR1;PTBP1;C1QBP;TRA2B;CWC22;SAP18;SRSF10;ZBTB7A;DDX17;MBNL1;WTAP;LARP7;JMJD6;HNRNPL;SMU1;REST;HNRNPK;SON;RNPS1;RBM23;SRSF7;SF1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	52/251	7.535845773586572E-10	1.9770513029527127E-7	0	0	2.920285769166424	61.34404810434734	DDX46;EIF4A3;DDX42;HNRNPR;CWC27;PNN;SYNCRIP;PTBP1;RSRC1;CWC22;PAPOLA;CTNNBL1;AQR;NCBP2;PRPF4;HNRNPH1;SRSF2;SNRPE;PABPC1;SRSF7;SRSF8;SF1;SNRPB;RBM22;DDX5;YTHDC1;CSTF3;PRCC;FIP1L1;POLR2B;DHX35;PCBP1;TRA2B;PCBP2;CSTF1;SRSF10;SMNDC1;RBM10;HNRNPA0;SPEN;SF3A1;HNRNPA3;FUS;NONO;CDC5L;HNRNPL;SMU1;NUDT21;HNRNPK;HNRNPF;HNRNPA2B1;RNPS1
regulation of cellular macromolecule biosynthetic process (GO:2000112)	78/468	2.983384962494337E-9	7.392164962624857E-7	0	0	2.2476190476190476	44.12122780835029	RB1;ZNF331;LIN54;JMJD1C;SIX1;RORA;NUCKS1;PRDM2;RORB;NR3C1;BACH1;RBM3;PPP2R1A;MLX;EP300;FBXO5;ZFP37;SOX4;ZNF486;ZNF680;TGIF2;ZNF281;ZBTB38;RHOH;SOX11;MYT1;THAP1;ZNF92;ZNF519;KAT6B;MTF2;ZNF714;TERF2IP;ATF7;ZNF678;ZNF675;ZNF430;MTPN;FOXC1;PLAG1;NOLC1;FOXK2;ZNF22;ZNF66;RNF6;SPTY2D1;FOXO3;HIF1A;POU5F1B;SBNO1;ZNF708;ATXN1;ZNF626;GPBP1L1;SRSF10;ZNF664;PPARGC1B;ZNF146;TCFL5;ZNF460;FUS;NONO;STAT3;HMGA2;ZBTB11;FOXN2;SMARCA2;CCDC88A;REST;RYBP;NFIA;SP1;SP3;CALR;RBAK;SSBP2;ZNF257;PHF19
positive regulation of nucleic acid-templated transcription (GO:1903508)	83/511	3.241907123875892E-9	7.609950406571831E-7	0	0	2.1815674618326217	42.64332619434431	CITED2;HMGB2;SIX1;RORA;YEATS4;RSF1;RORB;MED14;MED13;LBH;HEY1;KAT5;SIX4;ZIC2;MYC;ZXDC;EP300;PIM2;SOX9;BTRC;RNF111;SOX4;MAP3K5;IL10;MAP2K1;CHUK;ATMIN;ZNF281;WNT5A;DYRK1A;SOX11;JMJD6;PPM1A;ILF3;MDFIC;KAT6B;TBL1XR1;IRF4;WAC;TFAM;ZNF711;RBM23;PPARD;CREB5;FOXC1;SP100;KMT2A;GATA6;FOXK2;FOXK1;RNF6;PRDM11;FOXO3;HIF1A;RLF;NPAS2;RXRB;TP53INP2;TP53INP1;MAP2K7;ATF7IP;EGR1;JUN;SMAD3;TGFB1;USP22;STAT3;HMGA2;HNRNPAB;SMARCA2;SMAD5;FLI1;IL6;REST;RYBP;TFAP4;NFIB;SP1;BAMBI;PITHD1;SP3;NAA16;NAA15
peptidyl-serine modification (GO:0018209)	39/169	4.217769067134483E-9	9.405625019709897E-7	0	0	3.338715596330275	64.3836563608959	GSK3B;SMG1;DYRK2;CAB39;ROCK2;TTK;STK4;MAPK8;TBK1;STK38;STK38L;TLK1;PAK2;MARK1;CHUK;PARP1;CSNK1A1;GALNT1;DYRK1A;CSNK1D;MASTL;HIPK1;MAPK14;HIPK3;UHMK1;TGFBR2;LATS1;LATS2;WNK1;CDK2;CDK1;ULK2;PRKD2;ULK1;SGK3;PKN2;MAP3K13;SGK1;TAF1
